Name,Division,Records
Raoni Barcelos,Bantamweight Division,17-4-0 (W-L-D)
Carlos Baretto,Heavyweight Division,0-0-0 (W-L-D)
Daniel Barez,Flyweight Division,0-1-0 (W-L-D)
Luke Barnatt,Middleweight Division,8-3-0 (W-L-D)
James Barnes,Bantamweight Division,0-1-0 (W-L-D)
Shonte Barnes,Middleweight Division,0-1-0 (W-L-D)
Josh Barnett,Heavyweight Division,35-8-0 (W-L-D)
Chris Barnett,Heavyweight Division,23-8-0 (W-L-D)
David Baron,Lightweight Division,14-3-0 (W-L-D)
Phil Baroni,Middleweight Division,13-13-0 (W-L-D)
Dan Barrera,Welterweight Division,1-1-0 (W-L-D)
Peter Barrett,Featherweight Division,11-5-0 (W-L-D)
Marc-Andre Barriault,Middleweight Division,15-6-0 (W-L-D)
Alexandre Barros,Welterweight Division,13-6-0 (W-L-D)
Francimar Barroso,Light Heavyweight Division,19-7-0 (W-L-D)
Pat Barry,Heavyweight Division,8-7-0 (W-L-D)
Dean Barry,Welterweight Division,4-2-0 (W-L-D)
Enrique Barzola,Bantamweight Division,17-5-2 (W-L-D)
Farid Basharat,Bantamweight Division,10-0-0 (W-L-D)
Javid Basharat,Bantamweight Division,14-0-0 (W-L-D)
Stephen Bass,Featherweight Division,10-1-0 (W-L-D)
Shayna Baszler,Women's Bantamweight Division,15-10-0 (W-L-D)
Ron Bata,N/A,N/A
Bahatebole Batebolati,N/A,N/A
Michel Batista,Heavyweight Division,0-1-0 (W-L-D)
Bryan Battle,Welterweight Division,9-2-0 (W-L-D)
Alan Baudot,Heavyweight Division,8-3-0 (W-L-D)
Mario Bautista,Bantamweight Division,12-2-0 (W-L-D)
Chris Beal,Flyweight Division,10-3-0 (W-L-D)
Donavan Beard,Middleweight Division,0-1-0 (W-L-D)
Ariel Beck,Women's Flyweight Division,4-5-0 (W-L-D)
Johnny Bedford,Bantamweight Division,19-13-1 (W-L-D)
Rolando Bedoya,Welterweight Division,0-0-0 (W-L-D)
Allan Begosso,Bantamweight Division,0-1-0 (W-L-D)
Mirsad Bektic,Featherweight Division,13-4-0 (W-L-D)
Diana Belbita,Women's Strawweight Division,14-7-0 (W-L-D)
Alan Belcher,Middleweight Division,17-7-0 (W-L-D)
Vitor Belfort,Middleweight Division,26-14-0 (W-L-D)
Rodolfo Bellato,Light Heavyweight Division,0-1-0 (W-L-D)
Danilo Belluardo,Lightweight Division,12-5-0 (W-L-D)
Joey Beltran,Light Heavyweight Division,14-9-0 (W-L-D)
Marco Beltran,Flyweight Division,8-7-0 (W-L-D)
Joseph Benavidez,Flyweight Division,28-8-0 (W-L-D)
Dave Beneteau,Heavyweight Division,0-0-0 (W-L-D)
Gabriel Benitez,Lightweight Division,23-11-0 (W-L-D)
DeAnna Bennett,Women's Flyweight Division,8-3-1 (W-L-D)
Lance Benoist,Welterweight Division,7-2-0 (W-L-D)
Ryan Benoit,Flyweight Division,10-8-0 (W-L-D)
Steve Berger,Welterweight Division,15-6-3 (W-L-D)
Kenneth Bergh,Light Heavyweight Division,6-0-0 (W-L-D)
Keith Berish,Middleweight Division,5-1-0 (W-L-D)
Dennis Bermudez,Lightweight Division,18-9-0 (W-L-D)
Manny Bermudez,Bantamweight Division,14-2-0 (W-L-D)
Talita Bernardo,Women's Bantamweight Division,6-4-0 (W-L-D)
Dave Berry,,0-0-0 (W-L-D)
Dieusel Berto,,0-0-0 (W-L-D)
Allen Berube,Lightweight Division,2-1-0 (W-L-D)
Anton Berzin,Light Heavyweight Division,5-2-0 (W-L-D)
Scott Bessac,,0-0-0 (W-L-D)
Matt Bessette,Featherweight Division,22-9-0 (W-L-D)
Khadzhimurat Bestaev,Middleweight Division,0-1-0 (W-L-D)
KB Bhullar,Middleweight Division,8-2-0 (W-L-D)
Magomed Bibulatov,Flyweight Division,14-2-0 (W-L-D)
David Bielkheden,Lightweight Division,13-7-0 (W-L-D)
Blake Bilder,Featherweight Division,8-0-1 (W-L-D)
Jonas Bilharinho,Featherweight Division,1-0-0 (W-L-D)
Xie Bin,Featherweight Division,0-2-0 (W-L-D)
Anthony Birchak,Bantamweight Division,16-8-0 (W-L-D)
Chris Birchler,Light Heavyweight Division,7-4-0 (W-L-D)
Michael Bisping,Middleweight Division,31-9-0 (W-L-D)
Amaury Bitetti,Middleweight Division,0-0-0 (W-L-D)
Caio Bittencourt,Middleweight Division,0-1-0 (W-L-D)
Simon Biyong,Light Heavyweight Division,0-0-0 (W-L-D)
Jan Błachowicz,Light Heavyweight Division,29-9-1 (W-L-D)
Jason Black,Lightweight Division,22-4-1 (W-L-D)
Anthony Blackburn,N/A,N/A
Brad Blackburn,Welterweight Division,15-11-1 (W-L-D)
Tom Blackledge,Light Heavyweight Division,10-7-0 (W-L-D)
Sherrard Blackledge,Lightweight Division,1-1-0 (W-L-D)
Da'Mon Blackshear,Bantamweight Division,12-5-1 (W-L-D)
Erin Blanchfield,Women's Flyweight Division,11-1-0 (W-L-D)
Maximo Blanco,Featherweight Division,12-8-1 (W-L-D)
Curtis Blaydes,Heavyweight Division,17-4-0 (W-L-D)
Tereza Bleda,Women's Flyweight Division,6-1-0 (W-L-D)
Byron Bloodworth,Bantamweight Division,6-3-0 (W-L-D)
Dashawn Boatwright,Light Heavyweight Division,3-2-0 (W-L-D)
Daniel Bobish,Heavyweight Division,0-0-0 (W-L-D)
Mark Bocek,Lightweight Division,12-5-0 (W-L-D)
Kyle Bochniak,Featherweight Division,8-5-0 (W-L-D)
James Bochnovic,Middleweight Division,8-3-0 (W-L-D)
Tim Boetsch,Middleweight Division,21-13-0 (W-L-D)
Galore Bofando,Welterweight Division,5-3-0 (W-L-D)
Roman Bogatov,Lightweight Division,10-1-0 (W-L-D)
Jerry Bohlander,Middleweight Division,0-0-0 (W-L-D)
Mandy Böhm,Women's Flyweight Division,7-2-0 (W-L-D)
Gaston Bolanos,Bantamweight Division,7-3-0 (W-L-D)
Denys Bondar,Flyweight Division,16-4-0 (W-L-D)
Gabriel Bonfim,Welterweight Division,14-0-0 (W-L-D)
Ismael Bonfim,Lightweight Division,19-3-0 (W-L-D)
Jesse Bongfeldt,Middleweight Division,15-5-1 (W-L-D)
Stephan Bonnar,Light Heavyweight Division,17-8-0 (W-L-D)
Rogerio Bontorin,Flyweight Division,17-4-0 (W-L-D)
Ray Borg,Bantamweight Division,13-5-0 (W-L-D)
Calen Born,Welterweight Division,7-1-0 (W-L-D)
Caio Borralho,Middleweight Division,13-1-0 (W-L-D)
Zach Borrego,Middleweight Division,0-1-0 (W-L-D)
Viacheslav Borshchev,Lightweight Division,6-3-0 (W-L-D)
Tanner Boser,Light Heavyweight Division,20-10-1 (W-L-D)
Steve Bosse,Light Heavyweight Division,12-2-0 (W-L-D)
Marcus Bossett,,0-0-0 (W-L-D)
Poliana Botelho,Women's Flyweight Division,8-5-0 (W-L-D)
Tai Bowden,,0-0-0 (W-L-D)
Melton Bowen,,0-0-0 (W-L-D)
Kyron Bowen,Middleweight Division,0-1-0 (W-L-D)
Brian Bowles,Bantamweight Division,10-3-0 (W-L-D)
Roger Bowling,Lightweight Division,11-5-0 (W-L-D)
Anvar Boynazarov,Featherweight Division,0-1-0 (W-L-D)
Kyle Bradley,Lightweight Division,14-7-0 (W-L-D)
Paul Bradley,Welterweight Division,18-4-0 (W-L-D)
Sean Brady,Welterweight Division,15-1-0 (W-L-D)
Ebenezer Braga,Middleweight Division,0-0-0 (W-L-D)
Ramiz Brahimaj,Welterweight Division,10-4-0 (W-L-D)
Joe Brammer,Lightweight Division,7-2-1 (W-L-D)
David Branch,Middleweight Division,22-6-0 (W-L-D)
Diego Brandao,Featherweight Division,24-11-0 (W-L-D)
Bruna Brasil,Women's Strawweight Division,8-3-1 (W-L-D)
Martin Bravo,Featherweight Division,12-3-0 (W-L-D)
Mike Breeden,Lightweight Division,10-5-0 (W-L-D)
Tom Breese,Middleweight Division,12-3-0 (W-L-D)
Elves Brener,Lightweight Division,14-3-0 (W-L-D)
Chris Brennan,Welterweight Division,11-5-1 (W-L-D)
Charlie Brenneman,Lightweight Division,19-8-0 (W-L-D)
Marcos Brigagao,Light Heavyweight Division,0-0-0 (W-L-D)
Jason Brilz,Light Heavyweight Division,18-5-1 (W-L-D)
Marcus Brimage,Bantamweight Division,7-5-0 (W-L-D)
Aaron Brink,Heavyweight Division,8-3-0 (W-L-D)
Henry Briones,Bantamweight Division,19-8-1 (W-L-D)
Joanderson Brito,Featherweight Division,14-3-1 (W-L-D)
Antwain Britt,Middleweight Division,0-0-0 (W-L-D)
Jarred Brooks,Flyweight Division,14-2-0 (W-L-D)
Will Brooks,Lightweight Division,18-4-0 (W-L-D)
Rob Broughton,Heavyweight Division,15-7-1 (W-L-D)
Mike Brown,Featherweight Division,26-9-0 (W-L-D)
Matt Brown,Welterweight Division,25-19-0 (W-L-D)
Todd Brown,Light Heavyweight Division,15-3-0 (W-L-D)
Humberto Brown,Featherweight Division,4-5-0 (W-L-D)
Damien Brown,Lightweight Division,17-12-0 (W-L-D)
Randy Brown,Welterweight Division,16-5-0 (W-L-D)
TJ Brown,Featherweight Division,17-10-0 (W-L-D)
Travis Browne,Heavyweight Division,18-7-1 (W-L-D)
Junie Browning,Lightweight Division,3-2-0 (W-L-D)
Jules Bruchez,Light Heavyweight Division,0-1-0 (W-L-D)
Cody Brundage,Middleweight Division,8-3-0 (W-L-D)
Steve Bruno,Welterweight Division,13-5-0 (W-L-D)
Derek Brunson,Middleweight Division,23-9-0 (W-L-D)
Dennis Bryant,Light Heavyweight Division,5-2-0 (W-L-D)
Josh Bryant,Middleweight Division,10-2-0 (W-L-D)
Lukasz Brzeski,Heavyweight Division,8-3-1 (W-L-D)
Justin Buchholz,Lightweight Division,9-5-0 (W-L-D)
Joaquin Buckley,Middleweight Division,15-6-0 (W-L-D)
Martin Buday,Heavyweight Division,3-0-0 (W-L-D)
Paul Buentello,Heavyweight Division,25-12-0 (W-L-D)
Modestas Bukauskas,Light Heavyweight Division,14-5-0 (W-L-D)
Wuliji Buren,Bantamweight Division,10-8-0 (W-L-D)
Shane Burgos,Featherweight Division,15-3-0 (W-L-D)
Joshua Burkman,Welterweight Division,29-17-0 (W-L-D)
Justin Burlinson,Welterweight Division,0-1-0 (W-L-D)
Mads Burnell,Featherweight Division,9-3-0 (W-L-D)
Mikey Burnett,Lightweight Division,0-0-0 (W-L-D)
Herbert Burns,Featherweight Division,11-4-0 (W-L-D)
Kevin Burns,Welterweight Division,8-4-0 (W-L-D)
Gilbert Burns,Welterweight Division,22-5-0 (W-L-D)
Nah-Shon Burrell,Welterweight Division,9-3-0 (W-L-D)
Martin Buschkamp,Featherweight Division,9-0-0 (W-L-D)
Bubba Bush,Middleweight Division,8-3-0 (W-L-D)
Dakota Bush,Lightweight Division,8-4-0 (W-L-D)
Murilo Bustamante,Middleweight Division,11-1-1 (W-L-D)
Todd Butler,Lightweight Division,0-0-0 (W-L-D)
JP Buys,Flyweight Division,9-5-0 (W-L-D)
Dennis Buzukja,Featherweight Division,1-1-0 (W-L-D)
Charles Byrd,Middleweight Division,10-7-0 (W-L-D)
Steve Byrnes,Middleweight Division,6-1-0 (W-L-D)
Yan Cabral,Lightweight Division,12-3-0 (W-L-D)
Alex Caceres,Featherweight Division,20-13-0 (W-L-D)
Vince Cachero,Bantamweight Division,7-4-0 (W-L-D)
Priscila Cachoeira,Women's Flyweight Division,12-4-0 (W-L-D)
Ricky Calatayud,Flyweight Division,0-0-0 (W-L-D)
Taylor Callens,Lightweight Division,0-0-0 (W-L-D)
Cynthia Calvillo,Women's Strawweight Division,9-6-1 (W-L-D)
Frank Camacho,Lightweight Division,22-10-0 (W-L-D)
Fabricio Camoes,Lightweight Division,14-9-1 (W-L-D)
Chris Camozzi,Middleweight Division,24-13-0 (W-L-D)
Brian Camozzi,Welterweight Division,7-5-0 (W-L-D)
Ricky Camp,Bantamweight Division,0-0-0 (W-L-D)
Shane Campbell,Lightweight Division,12-6-0 (W-L-D)
Charlie Campbell,Lightweight Division,0-1-0 (W-L-D)
John Campetella,,0-0-0 (W-L-D)
Wagner Campos,Featherweight Division,11-4-0 (W-L-D)
Will Campuzano,Flyweight Division,13-6-0 (W-L-D)
Aleksa Camur,Light Heavyweight Division,6-2-0 (W-L-D)
Chico Camus,Flyweight Division,14-7-0 (W-L-D)
Asbel Cancio,,0-0-0 (W-L-D)
Carlos Candelario,Flyweight Division,8-3-0 (W-L-D)
Ronaldo Candido,Flyweight Division,5-2-0 (W-L-D)
Luiz Cane,Middleweight Division,0-0-0 (W-L-D)
Guido Cannetti,Bantamweight Division,10-8-0 (W-L-D)
Jared Cannonier,Middleweight Division,16-6-0 (W-L-D)
Steve Cantwell,Middleweight Division,7-6-0 (W-L-D)
Paul Capaldo,Bantamweight Division,0-0-0 (W-L-D)
Phil Caracappa,Bantamweight Division,0-0-0 (W-L-D)
Frank Caracci,Lightweight Division,0-0-0 (W-L-D)
Gina Carano,Women's Bantamweight Division,0-0-0 (W-L-D)
Bryan Caraway,Bantamweight Division,21-10-0 (W-L-D)
Chris Cariaso,Flyweight Division,17-8-0 (W-L-D)
Rafael Carino,,0-0-0 (W-L-D)
Antonio Carlos Junior,Middleweight Division,11-5-0 (W-L-D)
Spike Carlyle,Featherweight Division,9-3-0 (W-L-D)
Francis Carmont,Middleweight Division,22-10-0 (W-L-D)
Liz Carmouche,Women's Flyweight Division,13-7-0 (W-L-D)
Roan Carneiro,Welterweight Division,21-11-0 (W-L-D)
Ariane Carnelossi,Women's Strawweight Division,14-3-0 (W-L-D)
Luana Carolina,Women's Flyweight Division,8-4-0 (W-L-D)
Tim Caron,Middleweight Division,9-2-0 (W-L-D)
Clayton Carpenter,Flyweight Division,7-0-0 (W-L-D)
Cain Carrizosa,Lightweight Division,6-2-0 (W-L-D)
Shonie Carter,Welterweight Division,66-14-7 (W-L-D)
Jack Cartwright,Bantamweight Division,0-1-0 (W-L-D)
Antonio Carvalho,Featherweight Division,15-6-0 (W-L-D)
Shane Carwin,Heavyweight Division,12-2-0 (W-L-D)
Johnny Case,Lightweight Division,22-6-0 (W-L-D)
Kevin Casey,Middleweight Division,9-5-1 (W-L-D)
Cortney Casey,Women's Flyweight Division,10-10-0 (W-L-D)
Duane Cason,Heavyweight Division,0-0-0 (W-L-D)
John Castaneda,Bantamweight Division,19-6-0 (W-L-D)
Gil Castillo,Welterweight Division,17-2-0 (W-L-D)
Danny Castillo,Lightweight Division,17-10-0 (W-L-D)
Vernon Cathey,N/A,N/A
Nick Catone,Middleweight Division,10-4-0 (W-L-D)
Luke Caudillo,Lightweight Division,15-8-0 (W-L-D)
Rafael Cavalcante,Light Heavyweight Division,12-7-0 (W-L-D)
Magnus Cedenblad,Middleweight Division,14-5-0 (W-L-D)
Yosdenis Cedeno,Lightweight Division,10-5-0 (W-L-D)
Henry Cejudo,Bantamweight Division,16-2-0 (W-L-D)
Adam Cella,Middleweight Division,4-1-0 (W-L-D)
Vinicius Cenci,Lightweight Division,0-1-0 (W-L-D)
Alberta Cerra,N/A,N/A
Donald Cerrone,Welterweight Division,36-17-0 (W-L-D)
Luan Chagas,Welterweight Division,15-2-1 (W-L-D)
Edgar Chairez,Flyweight Division,0-1-0 (W-L-D)
Ansar Chalangov,Welterweight Division,7-2-0 (W-L-D)
Alex Chambers,Women's Strawweight Division,5-4-0 (W-L-D)
Hong Sung Chan,N/A,N/A
