Name,Division,Records
Trevin Giles,Welterweight Division,16-4-0 (W-L-D)
Gregor Gillespie,Lightweight Division,14-1-0 (W-L-D)
Jason Gilliam,Welterweight Division,11-1-0 (W-L-D)
Micheal Gillmore,Welterweight Division,6-5-0 (W-L-D)
Alex Gilpin,Featherweight Division,10-1-0 (W-L-D)
Bob Gilstrap,Middleweight Division,0-0-0 (W-L-D)
Eperaim Ginting,N/A,N/A
He-Man Gipson,,0-0-0 (W-L-D)
Ricky Glenn,Lightweight Division,22-7-2 (W-L-D)
Mark Godbeer,Heavyweight Division,13-3-0 (W-L-D)
Loopy Godinez,Women's Strawweight Division,9-3-0 (W-L-D)
Jason Godsey,Heavyweight Division,0-0-0 (W-L-D)
Allan Goes,Middleweight Division,0-0-0 (W-L-D)
Billy Goff,Welterweight Division,8-2-0 (W-L-D)
Amiran Gogoladze,Welterweight Division,0-1-0 (W-L-D)
Hannah Goldy,Women's Flyweight Division,6-3-0 (W-L-D)
Marcelo Golm,Heavyweight Division,6-3-0 (W-L-D)
Denise Gomes,Women's Strawweight Division,7-2-0 (W-L-D)
Ulysses Gomez,Flyweight Division,9-4-0 (W-L-D)
Luis Gomez,Featherweight Division,4-1-0 (W-L-D)
Joey Gomez,Bantamweight Division,6-2-0 (W-L-D)
Joey Gomez,Lightweight Division,7-0-0 (W-L-D)
Edson Gomez,Welterweight Division,0-1-0 (W-L-D)
Takanori Gomi,Lightweight Division,35-14-0 (W-L-D)
William Gomis,Featherweight Division,12-2-0 (W-L-D)
Akihiro Gono,Welterweight Division,28-14-7 (W-L-D)
Gabriel Gonzaga,Heavyweight Division,17-11-0 (W-L-D)
Justin Gonzales,Featherweight Division,9-0-0 (W-L-D)
Pearl Gonzalez,Women's Strawweight Division,6-2-0 (W-L-D)
Jason Gonzalez,Lightweight Division,11-5-0 (W-L-D)
Lewis Gonzalez,Welterweight Division,10-2-0 (W-L-D)
Mikey Gonzalez,Lightweight Division,0-1-0 (W-L-D)
Jennifer Gonzalez,Women's Flyweight Division,0-0-0 (W-L-D)
Erick Gonzalez,Lightweight Division,14-8-0 (W-L-D)
Jorge Gonzalez,Light Heavyweight Division,16-4-0 (W-L-D)
Lyman Good,Welterweight Division,21-6-0 (W-L-D)
Jared Gooden,Welterweight Division,18-8-0 (W-L-D)
Gary Goodridge,Heavyweight Division,0-0-0 (W-L-D)
Gerard Gordeau,,2-1-0 (W-L-D)
Tebaris Gordon,Heavyweight Division,3-1-0 (W-L-D)
Eddie Gordon,Middleweight Division,8-4-0 (W-L-D)
Malcolm Gordon,Flyweight Division,14-7-0 (W-L-D)
Jared Gordon,Lightweight Division,19-6-0 (W-L-D)
Tresean Gore,Middleweight Division,5-2-0 (W-L-D)
Alex Gorgees,Lightweight Division,7-1-0 (W-L-D)
Themba Gorimbo,Welterweight Division,10-4-0 (W-L-D)
Tim Gorman,Bantamweight Division,9-4-0 (W-L-D)
Chase Gormley,Heavyweight Division,6-2-0 (W-L-D)
Jonathan Goulet,Welterweight Division,22-11-0 (W-L-D)
Thibault Gouti,Lightweight Division,12-5-0 (W-L-D)
Wilson Gouveia,Middleweight Division,12-7-0 (W-L-D)
Damian Grabowski,Heavyweight Division,20-5-0 (W-L-D)
Kron Gracie,Featherweight Division,5-1-0 (W-L-D)
Royce Gracie,Middleweight Division,13-2-2 (W-L-D)
Roger Gracie,Middleweight Division,6-2-0 (W-L-D)
Renzo Gracie,Welterweight Division,13-7-1 (W-L-D)
Rolles Gracie,Heavyweight Division,3-1-0 (W-L-D)
Steven Graham,Heavyweight Division,0-0-0 (W-L-D)
Miranda Granger,Women's Strawweight Division,7-3-0 (W-L-D)
Davey Grant,Bantamweight Division,15-6-0 (W-L-D)
TJ Grant,Lightweight Division,21-5-0 (W-L-D)
Dwight Grant,Middleweight Division,11-6-0 (W-L-D)
Alexa Grasso,Women's Flyweight Division,16-3-0 (W-L-D)
Tony Gravely,Bantamweight Division,23-9-0 (W-L-D)
Shelton Graves,Heavyweight Division,7-3-0 (W-L-D)
Michael Graves,Welterweight Division,6-0-1 (W-L-D)
Kevin Gray,Flyweight Division,9-4-0 (W-L-D)
James Gray,Bantamweight Division,4-2-0 (W-L-D)
Desmond Green,Lightweight Division,23-8-0 (W-L-D)
Gabriel Green,Welterweight Division,11-4-0 (W-L-D)
Bobby Green,Lightweight Division,29-14-1 (W-L-D)
Maurice Greene,Heavyweight Division,9-7-0 (W-L-D)
Matt Grice,Featherweight Division,15-5-0 (W-L-D)
Jordan Griffin,Featherweight Division,18-9-0 (W-L-D)
Forrest Griffin,Light Heavyweight Division,19-7-0 (W-L-D)
Tyson Griffin,Featherweight Division,15-6-0 (W-L-D)
Max Griffin,Welterweight Division,19-9-0 (W-L-D)
Chad Griggs,Light Heavyweight Division,11-3-0 (W-L-D)
Maxim Grishin,Heavyweight Division,32-9-2 (W-L-D)
Josh Grispi,Featherweight Division,14-5-0 (W-L-D)
Garrett Gross,Lightweight Division,11-8-0 (W-L-D)
Neil Grove,Heavyweight Division,7-2-0 (W-L-D)
Kendall Grove,Middleweight Division,14-9-0 (W-L-D)
Chris Gruetzemacher,Lightweight Division,15-5-0 (W-L-D)
Vik Grujic,Welterweight Division,7-5-0 (W-L-D)
Mike Grundy,Featherweight Division,12-4-0 (W-L-D)
Wang Guan,Featherweight Division,20-1-1 (W-L-D)
Ning Guangyou,Bantamweight Division,6-4-1 (W-L-D)
Nandor Guelmino,Heavyweight Division,11-5-1 (W-L-D)
Shannon Gugerty,Lightweight Division,12-6-0 (W-L-D)
Clay Guida,Lightweight Division,38-20-0 (W-L-D)
Melvin Guillard,Lightweight Division,48-14-3 (W-L-D)
Marcelo Guimaraes,Middleweight Division,9-2-1 (W-L-D)
Brad Gumm,Welterweight Division,0-0-0 (W-L-D)
John Gunderson,Lightweight Division,23-8-0 (W-L-D)
John Gunther,Lightweight Division,7-2-0 (W-L-D)
Fabio Gurgel,,0-0-0 (W-L-D)
Jorge Gurgel,Lightweight Division,17-8-0 (W-L-D)
Gugun Gusman,Bantamweight Division,0-1-0 (W-L-D)
Andre Gusmao,Light Heavyweight Division,5-2-0 (W-L-D)
Alexander Gustafsson,Light Heavyweight Division,18-8-0 (W-L-D)
Horacio Gutierrez,Featherweight Division,3-3-0 (W-L-D)
Mando Gutierrez,Bantamweight Division,0-1-0 (W-L-D)
Chris Gutierrez,Bantamweight Division,19-3-2 (W-L-D)
Mike Guymon,Welterweight Division,13-5-1 (W-L-D)
Chelsea Hackett,Women's Flyweight Division,0-1-0 (W-L-D)
Keith Hackney,,0-0-0 (W-L-D)
Jake Hadley,Flyweight Division,10-1-0 (W-L-D)
Damir Hadzovic,Lightweight Division,14-7-0 (W-L-D)
Tim Hague,Heavyweight Division,12-5-0 (W-L-D)
Yazan Hajeh,Featherweight Division,6-0-0 (W-L-D)
Mark Hall,,0-0-0 (W-L-D)
Uriah Hall,Middleweight Division,18-11-0 (W-L-D)
Ryan Hall,Featherweight Division,9-2-0 (W-L-D)
Dennis Hallman,Lightweight Division,66-14-2 (W-L-D)
Piotr Hallmann,Lightweight Division,15-4-0 (W-L-D)
Tony Halme,Heavyweight Division,0-0-0 (W-L-D)
John Halverson,Lightweight Division,16-6-0 (W-L-D)
Seohee Ham,Women's Strawweight Division,16-8-0 (W-L-D)
Frank Hamaker,,0-0-0 (W-L-D)
Matt Hamill,Light Heavyweight Division,12-5-0 (W-L-D)
CJ Hamilton,Flyweight Division,11-5-0 (W-L-D)
Anthony Hamilton,Heavyweight Division,15-9-0 (W-L-D)
Jared Hamman,Middleweight Division,13-6-0 (W-L-D)
James Hammortree,Middleweight Division,5-2-0 (W-L-D)
Kay Hansen,Women's Strawweight Division,7-6-0 (W-L-D)
Nasrat Haqparast,Lightweight Division,14-5-0 (W-L-D)
Shin Haraguchi,N/A,N/A
Janay Harding,Women's Bantamweight Division,3-2-0 (W-L-D)
Antoni Hardonk,Heavyweight Division,8-6-0 (W-L-D)
Dan Hardy,Welterweight Division,25-10-0 (W-L-D)
Greg Hardy,Heavyweight Division,7-5-0 (W-L-D)
Gerry Harris,,1-4-0 (W-L-D)
Walt Harris,Heavyweight Division,13-10-0 (W-L-D)
Phil Harris,Flyweight Division,22-12-0 (W-L-D)
Gerald Harris,Middleweight Division,16-3-0 (W-L-D)
Carlston Harris,Welterweight Division,18-5-0 (W-L-D)
Collin Hart,Middleweight Division,4-2-1 (W-L-D)
Dale Hartt,Lightweight Division,6-2-0 (W-L-D)
Clay Harvison,Welterweight Division,9-5-0 (W-L-D)
Chris Haseman,Light Heavyweight Division,20-16-0 (W-L-D)
Hayder Hassan,Welterweight Division,6-3-0 (W-L-D)
Ahmad Hassanzada,Lightweight Division,0-1-0 (W-L-D)
John Hathaway,Welterweight Division,17-2-0 (W-L-D)
Phil Hawes,Middleweight Division,12-4-0 (W-L-D)
Tommy Hayden,Featherweight Division,8-2-0 (W-L-D)
Josh Haynes,Welterweight Division,9-7-0 (W-L-D)
Dustin Hazelett,Lightweight Division,14-7-0 (W-L-D)
James Head,Welterweight Division,9-4-0 (W-L-D)
Pat Healy,Lightweight Division,31-19-0 (W-L-D)
David Heath,Light Heavyweight Division,9-3-0 (W-L-D)
Chris Heatherly,Welterweight Division,8-3-0 (W-L-D)
Jake Hecht,Welterweight Division,11-4-0 (W-L-D)
Nick Hein,Lightweight Division,14-5-0 (W-L-D)
Ian Heinisch,Middleweight Division,14-5-0 (W-L-D)
Marcin Held,Lightweight Division,23-7-0 (W-L-D)
Delson Heleno,Middleweight Division,23-7-0 (W-L-D)
Dan Henderson,Middleweight Division,32-15-0 (W-L-D)
Benson Henderson,Welterweight Division,23-5-0 (W-L-D)
Johny Hendricks,Middleweight Division,18-8-0 (W-L-D)
Josh Hendricks,Heavyweight Division,18-5-0 (W-L-D)
Cory Hendricks,Light Heavyweight Division,3-1-0 (W-L-D)
José Henrique,Welterweight Division,0-1-0 (W-L-D)
Luis Henrique,Heavyweight Division,10-4-0 (W-L-D)
Danny Henry,Featherweight Division,12-4-0 (W-L-D)
Victor Henry,Bantamweight Division,23-6-0 (W-L-D)
Jai Herbert,Lightweight Division,12-4-1 (W-L-D)
Dave Herman,Heavyweight Division,21-6-0 (W-L-D)
Ed Herman,Light Heavyweight Division,27-16-0 (W-L-D)
Jack Hermansson,Middleweight Division,23-8-0 (W-L-D)
Nohelin Hernandez,Bantamweight Division,10-4-0 (W-L-D)
Noe Hernandez,Middleweight Division,0-0-0 (W-L-D)
Junior Hernandez,Bantamweight Division,14-6-0 (W-L-D)
Anthony Hernandez,Middleweight Division,10-2-0 (W-L-D)
Alexander Hernandez,Lightweight Division,14-6-0 (W-L-D)
Carlos Hernandez,Flyweight Division,8-2-0 (W-L-D)
Paul Herrera,,0-0-0 (W-L-D)
Alvaro Herrera,Welterweight Division,9-6-0 (W-L-D)
Geane Herrera,Flyweight Division,9-3-0 (W-L-D)
Felice Herrig,Women's Strawweight Division,14-10-0 (W-L-D)
Heath Herring,Heavyweight Division,28-14-0 (W-L-D)
Jon Hess,,0-0-0 (W-L-D)
Clint Hester,Light Heavyweight Division,11-6-0 (W-L-D)
Jimy Hettes,Featherweight Division,11-3-0 (W-L-D)
Jay Hieron,Welterweight Division,23-7-0 (W-L-D)
Brady Hiestand,Bantamweight Division,8-2-0 (W-L-D)
Jason High,Lightweight Division,19-5-0 (W-L-D)
Richie Hightower,Welterweight Division,7-2-0 (W-L-D)
Jamahal Hill,Light Heavyweight Division,12-1-0 (W-L-D)
Corey Hill,Lightweight Division,2-2-0 (W-L-D)
Angela Hill,Women's Strawweight Division,15-12-0 (W-L-D)
Tyler Hill,Welterweight Division,6-1-0 (W-L-D)
Kailan Hill,Middleweight Division,0-0-0 (W-L-D)
Branden Lee Hinkle,Light Heavyweight Division,14-7-0 (W-L-D)
Anthony Hintz,N/A,N/A
Hatsu Hioki,Featherweight Division,27-8-2 (W-L-D)
Kuniyoshi Hironaka,Welterweight Division,11-5-0 (W-L-D)
Mizuto Hirota,Lightweight Division,19-10-2 (W-L-D)
Matt Hobar,Bantamweight Division,9-3-0 (W-L-D)
Bobby Hoffman,Heavyweight Division,26-4-0 (W-L-D)
Sam Hoger,Light Heavyweight Division,6-3-0 (W-L-D)
Andrew Holbrook,Lightweight Division,12-2-0 (W-L-D)
Chris Holdsworth,Bantamweight Division,7-0-0 (W-L-D)
Frank Holland,N/A,N/A
Kevin Holland,Welterweight Division,24-9-0 (W-L-D)
Roger Hollett,Light Heavyweight Division,13-5-0 (W-L-D)
Max Holloway,Featherweight Division,24-7-0 (W-L-D)
Holly Holm,Women's Bantamweight Division,15-6-0 (W-L-D)
Rex Holman,Light Heavyweight Division,4-2-0 (W-L-D)
Joseph Holmes,Middleweight Division,8-3-0 (W-L-D)
Kurt Holobaugh,Lightweight Division,17-7-0 (W-L-D)
Paddy Holohan,Flyweight Division,12-2-1 (W-L-D)
Mark Holst,Lightweight Division,8-3-0 (W-L-D)
Scott Holtzman,Lightweight Division,14-6-0 (W-L-D)
Sabah Homasi,Welterweight Division,11-8-0 (W-L-D)
Mark Hominick,Featherweight Division,20-12-0 (W-L-D)
Barb Honchak,Women's Flyweight Division,10-5-0 (W-L-D)
JunYoung Hong,Featherweight Division,0-1-0 (W-L-D)
Satoshi Honma,Heavyweight Division,0-0-0 (W-L-D)
David Hood,,0-0-0 (W-L-D)
Lorenzo Hood,Heavyweight Division,0-1-0 (W-L-D)
Dan Hooker,Lightweight Division,22-12-0 (W-L-D)
Chase Hooper,Featherweight Division,11-3-1 (W-L-D)
Darrell Horcher,Lightweight Division,13-4-0 (W-L-D)
Moti Horenstein,Heavyweight Division,0-0-0 (W-L-D)
Yoshinori Horie,Featherweight Division,0-1-0 (W-L-D)
Kyoji Horiguchi,Flyweight Division,18-2-0 (W-L-D)
Yuma Horiuchi,Flyweight Division,0-1-0 (W-L-D)
Jeremy Horn,Middleweight Division,88-19-5 (W-L-D)
Jamey-Lyn Horth,Women's Bantamweight Division,5-0-0 (W-L-D)
Matt Horwich,Middleweight Division,24-11-1 (W-L-D)
Saeed Hosseini,Lightweight Division,0-0-0 (W-L-D)
Jeff Hougland,Bantamweight Division,10-6-0 (W-L-D)
Brian Houston,Middleweight Division,4-2-0 (W-L-D)
Harold Howard,,0-0-0 (W-L-D)
John Howard,Welterweight Division,23-12-0 (W-L-D)
Shane Howell,Flyweight Division,13-9-0 (W-L-D)
Carlos Huachin,Bantamweight Division,10-5-1 (W-L-D)
Brady Huang,Bantamweight Division,11-2-0 (W-L-D)
Austin Hubbard,Lightweight Division,13-6-0 (W-L-D)
Collin Huckbody,Middleweight Division,1-0-0 (W-L-D)
Roger Huerta,Lightweight Division,22-3-1 (W-L-D)
Matt Hughes,Welterweight Division,46-9-0 (W-L-D)
Mark Hughes,Middleweight Division,0-0-0 (W-L-D)
Jeff Hughes,Heavyweight Division,10-4-0 (W-L-D)
Sam Hughes,Women's Strawweight Division,8-5-0 (W-L-D)
Harry Hunsucker,Light Heavyweight Division,7-6-0 (W-L-D)
Mark Hunt,Heavyweight Division,13-14-1 (W-L-D)
Alex Hunter,Heavyweight Division,0-0-0 (W-L-D)
Adam Hunter,Middleweight Division,0-0-0 (W-L-D)
Solomon Hutcherson,Middleweight Division,10-2-0 (W-L-D)
Al Iaquinta,Lightweight Division,14-7-1 (W-L-D)
Khadis Ibragimov,Light Heavyweight Division,8-4-0 (W-L-D)
Minoki Ichihara,,0-0-0 (W-L-D)
Dan Ige,Featherweight Division,16-6-0 (W-L-D)
Valeri Ignatov,Lightweight Division,0-0-0 (W-L-D)
Fabiano Iha,Lightweight Division,12-3-0 (W-L-D)
Nassourdine Imavov,Light Heavyweight Division,12-4-0 (W-L-D)
Brad Imes,Heavyweight Division,6-3-0 (W-L-D)
Chris Indich,Welterweight Division,5-3-0 (W-L-D)
Guto Inocente,Light Heavyweight Division,6-4-0 (W-L-D)
Mizuki Inoue,Women's Strawweight Division,14-6-0 (W-L-D)
Enson Inoue,Lightweight Division,0-0-0 (W-L-D)
Naoki Inoue,Flyweight Division,11-0-0 (W-L-D)
James Irvin,Light Heavyweight Division,14-7-0 (W-L-D)
Teruto Ishihara,Bantamweight Division,11-6-2 (W-L-D)
Damir Ismagulov,Lightweight Division,24-2-0 (W-L-D)
Wallid Ismail,Lightweight Division,0-0-0 (W-L-D)
Leandro Issa,Bantamweight Division,13-6-0 (W-L-D)
Alvaro Ivan Lopez Rodrigues,N/A,N/A
Blagoy Ivanov,Heavyweight Division,19-5-0 (W-L-D)
Anthony Ivy,Welterweight Division,8-4-0 (W-L-D)
Yoislandy Izquierdo,Lightweight Division,6-2-0 (W-L-D)
Yves Jabouin,Bantamweight Division,20-11-0 (W-L-D)
Brian Jackson,N/A,N/A
Kevin Jackson,Middleweight Division,0-0-0 (W-L-D)
Eugene Jackson,Middleweight Division,1-5-0 (W-L-D)
Jeremy Jackson,Welterweight Division,9-4-0 (W-L-D)
Rampage Jackson,Light Heavyweight Division,35-11-0 (W-L-D)
Damon Jackson,Featherweight Division,22-5-1 (W-L-D)
Mike Jackson,Welterweight Division,1-2-0 (W-L-D)
Jason Jackson,Welterweight Division,7-3-0 (W-L-D)
Montel Jackson,Bantamweight Division,14-2-0 (W-L-D)
Richard Jacobi,Heavyweight Division,0-1-0 (W-L-D)
Dustin Jacoby,Light Heavyweight Division,18-7-1 (W-L-D)
Justin James,Lightweight Division,22-5-0 (W-L-D)
Virna Jandiroba,Women's Strawweight Division,18-3-0 (W-L-D)
Ryan Janes,Middleweight Division,10-3-0 (W-L-D)
Josh Janousek,Lightweight Division,8-1-0 (W-L-D)
Keith Jardine,Light Heavyweight Division,16-11-2 (W-L-D)
Brock Jardine,Welterweight Division,9-3-0 (W-L-D)
Rony Jason,Featherweight Division,15-7-0 (W-L-D)
Jasmine Jasudavicius,Women's Flyweight Division,8-2-0 (W-L-D)
Yazmin Jauregui,Women's Strawweight Division,10-0-0 (W-L-D)
Justin Jaynes,Featherweight Division,16-8-0 (W-L-D)
Joanna Jędrzejczyk,Women's Strawweight Division,16-5-0 (W-L-D)
Aaron Jeffery,Middleweight Division,6-2-0 (W-L-D)
Trent Jenkins,Middleweight Division,0-2-0 (W-L-D)
Jack Jenkins,Featherweight Division,11-2-0 (W-L-D)
Brandon Jenkins,Lightweight Division,15-9-0 (W-L-D)
Steve Jennum,,0-0-0 (W-L-D)
Ryan Jensen,Middleweight Division,16-7-0 (W-L-D)
Kyle Jensen,Welterweight Division,0-0-0 (W-L-D)
Chanmi Jeon,Women's Strawweight Division,5-2-0 (W-L-D)
Ronald Jhun,Welterweight Division,26-12-2 (W-L-D)
Baergeng Jieleyisi,N/A,N/A
Art Jimmerson,Light Heavyweight Division,0-1-0 (W-L-D)
Ryan Jimmo,Light Heavyweight Division,19-5-0 (W-L-D)
Asikeerbai Jinensibieke,N/A,N/A
Asikerbai Jinensibieke,Lightweight Division,0-0-0 (W-L-D)
Li Jingliang,Welterweight Division,19-8-0 (W-L-D)
Sung Bin Jo,Featherweight Division,9-1-0 (W-L-D)
Miles Johns,Bantamweight Division,13-2-0 (W-L-D)
Phil Johns,Welterweight Division,0-0-0 (W-L-D)
Brett Johns,Bantamweight Division,17-2-0 (W-L-D)
Lavar Johnson,Heavyweight Division,17-7-0 (W-L-D)
Anthony Johnson,Light Heavyweight Division,22-6-0 (W-L-D)
Kajan Johnson,Lightweight Division,23-14-1 (W-L-D)
Michael Johnson,Lightweight Division,22-18-0 (W-L-D)
DaMarques Johnson,Welterweight Division,18-12-0 (W-L-D)
Demetrious Johnson,Flyweight Division,27-3-1 (W-L-D)
Jordan Johnson,Light Heavyweight Division,10-0-0 (W-L-D)
Timothy Johnson,Heavyweight Division,12-4-0 (W-L-D)
Dashon Johnson,Featherweight Division,9-2-0 (W-L-D)
Tony Johnson,Light Heavyweight Division,7-2-0 (W-L-D)
Jose Johnson,Bantamweight Division,15-7-0 (W-L-D)
Chad Johnson,Heavyweight Division,6-2-0 (W-L-D)
Taylor Johnson,Middleweight Division,0-0-0 (W-L-D)
Charles Johnson,Flyweight Division,13-4-0 (W-L-D)
Brian Johnston,Heavyweight Division,0-0-0 (W-L-D)
Liana Jojua,Women's Flyweight Division,8-5-0 (W-L-D)
Daniel Jolly,Light Heavyweight Division,5-3-0 (W-L-D)
Justin Jones,Middleweight Division,9-2-0 (W-L-D)
Paul Jones,Middleweight Division,0-0-0 (W-L-D)
Jon Jones,Heavyweight Division,27-1-0 (W-L-D)
Marcus Jones,Heavyweight Division,4-3-0 (W-L-D)
Jamelle Jones,Light Heavyweight Division,7-5-0 (W-L-D)
Antonio Jones,Middleweight Division,7-0-0 (W-L-D)
Mason Jones,Lightweight Division,11-2-0 (W-L-D)
Trevin Jones,Bantamweight Division,13-10-0 (W-L-D)
Jocelyn Jones-Lybarger,Women's Strawweight Division,6-4-0 (W-L-D)
Kevin Jordan,Heavyweight Division,7-4-0 (W-L-D)
Shawn Jordan,Heavyweight Division,18-7-0 (W-L-D)
Ivan Jorge,Lightweight Division,26-5-0 (W-L-D)
Scott Jorgensen,Bantamweight Division,15-12-0 (W-L-D)
Dwight Joseph,Bantamweight Division,0-0-0 (W-L-D)
Jeff Joslin,Welterweight Division,5-3-0 (W-L-D)
Krzysztof Jotko,Middleweight Division,24-6-0 (W-L-D)
Alan Jouban,Welterweight Division,17-7-0 (W-L-D)
Charles Jourdain,Featherweight Division,13-6-1 (W-L-D)
Dustin Joynson,Heavyweight Division,0-0-0 (W-L-D)
Silvana Gomez Juarez,Women's Strawweight Division,7-5-0 (W-L-D)
Anshul Jubli,Lightweight Division,7-0-0 (W-L-D)
Steve Judson,Heavyweight Division,0-0-0 (W-L-D)
Luke Jumeau,Welterweight Division,13-5-0 (W-L-D)
Da Woon Jung,Light Heavyweight Division,15-4-1 (W-L-D)
Chan Sung Jung,Featherweight Division,17-7-0 (W-L-D)
Scott Junk,Heavyweight Division,6-2-0 (W-L-D)
Myles Jury,Featherweight Division,17-4-0 (W-L-D)
Geza Kahlman Jr,,0-0-0 (W-L-D)
Oron Kahlon,Bantamweight Division,0-1-0 (W-L-D)
Lu Kai,Featherweight Division,1-1-0 (W-L-D)
Li Kaiwen,N/A,N/A
Sirwan Kakai,Bantamweight Division,12-3-0 (W-L-D)
Saidyokub Kakhramonov,Bantamweight Division,10-3-0 (W-L-D)
Kai Kamaka,Featherweight Division,8-4-1 (W-L-D)
Shuya Kamikubo,N/A,N/A
Martin Kampmann,Welterweight Division,20-7-0 (W-L-D)
Kouya Kanda,N/A,N/A
Bharat Kandare,Bantamweight Division,5-3-0 (W-L-D)
Masanori Kanehara,Bantamweight Division,25-13-5 (W-L-D)
Kyung Ho Kang,Bantamweight Division,18-9-0 (W-L-D)
Denis Kang,Middleweight Division,32-12-1 (W-L-D)
Manel Kape,Flyweight Division,18-6-0 (W-L-D)
Dave Kaplan,Lightweight Division,3-3-0 (W-L-D)
Alex Karalexis,Welterweight Division,8-2-0 (W-L-D)
Impa Kasanganay,Welterweight Division,9-2-0 (W-L-D)
Jinnosuke Kashimura,Lightweight Division,0-1-0 (W-L-D)
Kerry Kasik,N/A,N/A
Nadia Kassem,Women's Flyweight Division,5-2-0 (W-L-D)
Yusuke Kasuya,Lightweight Division,9-3-2 (W-L-D)
Brad Katona,Bantamweight Division,9-2-0 (W-L-D)
Calvin Kattar,Featherweight Division,23-7-0 (W-L-D)
Sarah Kaufman,Women's Bantamweight Division,17-4-0 (W-L-D)
Canaan Kawaihae,Featherweight Division,4-2-0 (W-L-D)
Tatsuya Kawajiri,Featherweight Division,35-10-2 (W-L-D)
Toshiomi Kazama,Bantamweight Division,10-3-0 (W-L-D)
Julie Kedzie,Women's Bantamweight Division,16-13-0 (W-L-D)
C.J. Keith,Lightweight Division,8-2-0 (W-L-D)
Chris Kelades,Flyweight Division,9-3-0 (W-L-D)
Brian Kelleher,Bantamweight Division,24-14-0 (W-L-D)
Mayana Kellem,Women's Bantamweight Division,0-0-0 (W-L-D)
Tony Kelley,Bantamweight Division,8-3-0 (W-L-D)
Paul Kelly,Lightweight Division,12-4-0 (W-L-D)
Daniel Kelly,Middleweight Division,13-4-0 (W-L-D)
Song Kenan,Welterweight Division,19-7-0 (W-L-D)
Tim Kennedy,Middleweight Division,18-6-0 (W-L-D)
Jeremy Kennedy,Featherweight Division,11-1-0 (W-L-D)
Steven Kennedy,Welterweight Division,22-8-0 (W-L-D)
Casey Kenney,Bantamweight Division,16-4-1 (W-L-D)
Casey Kenney,N/A,N/A
Maimaitituoheti Keremuaili,Bantamweight Division,0-1-0 (W-L-D)
Mark Kerr,Heavyweight Division,13-3-0 (W-L-D)
Rustam Khabilov,Welterweight Division,24-4-0 (W-L-D)
Adam Khaliev,Welterweight Division,6-0-0 (W-L-D)
Sergey Khandozhko,Welterweight Division,28-6-1 (W-L-D)
Alfred Khashakyan,Bantamweight Division,8-4-0 (W-L-D)
Aliaskhab Khizriev,Middleweight Division,14-0-0 (W-L-D)
WonBin Ki,Lightweight Division,1-1-0 (W-L-D)
Pannie Kianzad,Women's Bantamweight Division,17-6-0 (W-L-D)
Katsunori Kikuno,Featherweight Division,23-8-2 (W-L-D)
Sinae Kikuta,Middleweight Division,0-0-0 (W-L-D)
Jacob Kilburn,Featherweight Division,8-4-0 (W-L-D)
KyeongPyo Kim,Lightweight Division,1-1-0 (W-L-D)
HanSeul Kim,Welterweight Division,1-0-0 (W-L-D)
MinWoo Kim,Bantamweight Division,0-0-0 (W-L-D)
Sang Uk Kim,N/A,N/A
Ji Yeon Kim,Women's Flyweight Division,9-6-2 (W-L-D)
Dong Hyun Kim,Welterweight Division,22-4-1 (W-L-D)
Jeremy Kimball,Light Heavyweight Division,15-8-0 (W-L-D)
Rob Kimmons,Middleweight Division,23-7-0 (W-L-D)
Dustin Kimura,Bantamweight Division,12-3-0 (W-L-D)
Mike King,Middleweight Division,5-1-0 (W-L-D)
Kyle Kingsbury,Light Heavyweight Division,11-6-0 (W-L-D)
Yusaku Kinoshita,Welterweight Division,6-2-0 (W-L-D)
Kamuela Kirk,Featherweight Division,12-5-0 (W-L-D)
Justine Kish,Women's Flyweight Division,7-4-0 (W-L-D)
Koji Kitao,,0-0-0 (W-L-D)
Top Noi Kiwram,Flyweight Division,1-1-0 (W-L-D)
Ludovit Klein,Lightweight Division,19-4-1 (W-L-D)
Felix Klinkhammer,Welterweight Division,0-0-0 (W-L-D)
Drakkar Klose,Lightweight Division,13-2-1 (W-L-D)
Jason Knight,Featherweight Division,20-6-0 (W-L-D)
William Knight,Light Heavyweight Division,11-5-0 (W-L-D)
Josefine Knutsson,Women's Strawweight Division,1-0-0 (W-L-D)
Erik Koch,Welterweight Division,16-6-0 (W-L-D)
Brad Kohler,Heavyweight Division,0-0-0 (W-L-D)
Kaloyan Kolev,Light Heavyweight Division,0-1-0 (W-L-D)
John Kolosci,Welterweight Division,8-5-0 (W-L-D)
Yuki Kondo,Light Heavyweight Division,0-0-0 (W-L-D)
Syuri Kondo,Women's Strawweight Division,6-3-0 (W-L-D)
Cheick Kongo,Heavyweight Division,28-8-2 (W-L-D)
Jon Koppenhaver,Welterweight Division,6-2-0 (W-L-D)
Roman Kopylov,Middleweight Division,10-2-0 (W-L-D)
Bruno Korea,Flyweight Division,4-3-0 (W-L-D)
Tsuyoshi Kosaka,Heavyweight Division,18-9-1 (W-L-D)
Josh Koscheck,Welterweight Division,19-10-0 (W-L-D)
Steven Koslow,Bantamweight Division,6-1-0 (W-L-D)
Naoyuki Kotani,Lightweight Division,33-13-7 (W-L-D)
Karolina Kowalkiewicz,Women's Strawweight Division,15-7-0 (W-L-D)
Derrick Krantz,Welterweight Division,24-12-0 (W-L-D)
James Krause,Welterweight Division,28-9-0 (W-L-D)
